upgrade,in.state,in.comstock_building_type,timestamp,models_used,floor_area_represented,out.district_cooling.cooling.energy_consumption.kwh,out.district_heating.heating.energy_consumption.kwh,out.district_heating.water_systems.energy_consumption.kwh,out.electricity.cooling.energy_consumption.kwh,out.electricity.exterior_lighting.energy_consumption.kwh,out.electricity.fans.energy_consumption.kwh,out.electricity.heat_recovery.energy_consumption.kwh,out.electricity.heat_rejection.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.interior_equipment.energy_consumption.kwh,out.electricity.interior_lighting.energy_consumption.kwh,out.electricity.pumps.energy_consumption.kwh,out.electricity.refrigeration.energy_consumption.kwh,out.electricity.water_systems.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.interior_equipment.energy_consumption.kwh,out.natural_gas.water_systems.energy_consumption.kwh,out.district_cooling.total.energy_consumption.kwh,out.district_heating.total.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.district_heating.cooling.energy_consumption.kwh,out.other_fuel.cooling.energy_consumption.kwh,out.other_fuel.heating.energy_consumption.kwh,out.other_fuel.total.energy_consumption.kwh,out.other_fuel.water_systems.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh
0,NY,LargeOffice,2018-12-21 19:00:00,511,793656311.9930297,37311.051717835064,46338.14301232615,374.46809850933226,45766.406512962065,9455.755824403901,42103.92954369798,55.65339323743068,1481.7189680241158,6677.306730783493,157735.07212677578,32626.485699474844,8940.148802167945,0.0,765.3012554663688,56319.54700890802,0.0,857.7592265084027,37311.051717835064,46712.61111083549,305607.77885699394,57177.306235416414,0.0,0.0,3205.950558295384,3229.1580515993014,23.2074933039178,450037.90597268014
0,NY,LargeOffice,2018-12-21 19:15:00,511,793656311.9930297,39468.80725523392,48095.71235153744,379.69476099558824,47614.66073163444,9455.755824403901,43422.7311596688,57.27688799029059,1553.7110034158663,6410.662713163703,156440.85383882542,31540.28404671118,9051.925177949981,0.0,768.2437806220388,56437.05077606043,0.0,863.6278399406795,39468.80725523392,48475.40711253304,306316.10516438563,57300.6786160011,0.0,0.0,3196.171704659197,3216.8813238905045,20.70961923130717,454777.8794720441
0,NY,LargeOffice,2018-12-21 19:30:00,511,793656311.9930297,39111.26850427744,44093.44335305735,378.0539455839394,46360.68045494499,9455.755824403901,42357.61391140057,57.27688799029059,1514.8295680235979,7255.357963236322,154763.57071066223,30482.080603013903,8803.794544449542,0.0,732.3192562815547,53292.81058914873,0.0,805.737923585919,39111.26850427744,44471.49729864129,301783.27972440684,54098.54851273462,0.0,0.0,2706.989249524047,2721.4871681477125,14.497918623666159,442186.081208208
0,NY,LargeOffice,2018-12-21 19:45:00,511,793656311.9930297,35892.482417609805,37417.99444000306,372.258558079297,44653.302779394166,9455.755824403901,41317.85774884521,61.00598342782125,1451.5572003426723,6081.049387749996,152931.80649528612,29454.11085597373,8803.617596070808,0.0,711.6292481863989,50569.82320674555,0.0,818.4336782333107,35892.482417609805,37790.25299808236,294921.69311968074,51388.25688497885,0.0,0.0,2732.4995168564355,2746.7182901182687,14.218773261833704,422739.4037104699
0,NY,LargeOffice,2018-12-21 20:00:00,511,793656311.9930297,37260.23921766443,36752.631200018855,351.40283727810436,45437.26396788439,9455.755824403901,41860.18975904697,57.27688799029059,1495.9552475700768,4873.584211544554,150999.30596266282,28567.288949563484,8976.303661754437,0.0,719.9101557280142,49272.02129522781,0.0,777.2086003713355,37260.23921766443,37104.034037296966,292442.83462814894,50049.22989559912,0.0,0.0,2721.021446257703,2737.391364067024,16.369917809321368,419593.7291427762
0,NY,LargeOffice,2018-12-21 20:15:00,511,793656311.9930297,37693.07592813964,37780.06010412028,358.0910389483183,44382.908163566375,9455.755824403901,41616.1889880551,63.66710046651713,1450.2671981976603,6183.533827757121,149491.5010049554,27635.83781846856,8601.38496618352,0.0,680.9070665184776,51128.75003662344,0.0,756.4039802106663,37693.07592813964,38138.1511430686,289561.9519585726,51885.154016834116,0.0,0.0,3010.2216182661627,3023.209961740715,12.988343474551971,420301.54300835583
0,NY,LargeOffice,2018-12-21 20:30:00,511,793656311.9930297,34164.481433300294,33214.925617303365,315.81913525497004,42387.9833467727,9455.755824403901,40414.4200498806,61.00598342782125,1367.5698064316227,6359.682114707755,148350.21040810723,26721.539394873897,8509.699877973984,0.0,623.5046936927397,46379.11722254423,0.0,720.2589155531072,34164.481433300294,33530.744752558356,284251.3715002723,47099.37613809732,0.0,0.0,3291.9957481556576,3306.1217067137623,14.125958558104422,402352.0955309421
0,NY,LargeOffice,2018-12-21 20:45:00,511,793656311.9930297,35051.573434614365,36293.04678207836,295.9501380455824,44659.04025638652,9455.755824403901,42156.46440552368,61.00598342782125,1443.883819469132,6267.329908948193,147260.51313495688,25892.054888991875,8936.530953189449,0.0,580.7354922580312,51534.43572448351,0.0,665.3614894281791,35051.573434614365,36588.99692012394,286713.3146675555,52199.79721391168,0.0,0.0,3555.904886114414,3565.422971543869,9.518085429455772,414119.1052077492
0,NY,LargeOffice,2018-12-21 21:00:00,511,793656311.9930297,35885.02812338626,37017.237648641465,275.1147961681368,43749.17108240395,9455.755824403901,40426.552603648146,61.00598342782125,1405.4072376425374,7606.0327789185485,146505.07513402114,25053.065066517345,8745.349178777395,0.0,527.8562922586061,52674.39400767806,0.0,611.9055610470582,35885.02812338626,37292.3524448096,283535.2711820196,53286.29956872507,0.0,0.0,3921.815512608993,3932.5005233500883,10.685010741095235,413931.4518422904
0,NY,LargeOffice,2018-12-21 21:15:00,511,793656311.9930297,33114.35096621328,29229.479419189363,266.3818241069631,41305.82320356057,9455.755824403901,38905.59307364041,61.00598342782125,1297.0669384060714,6543.295249381855,145929.8008920838,24355.950338200455,8606.50272429449,0.0,479.790802642336,45464.85194908724,0.0,577.5469097306664,33114.35096621328,29495.861243296335,276940.58503004164,46042.39885881789,0.0,0.0,3876.700648725887,3887.335806920545,10.635158194658656,389480.5319052898
