upgrade,timestamp,district_cooling_cooling,district_heating_heating,district_heating_water_systems,electricity_cooling,electricity_exterior_lighting,electricity_fans,electricity_heat_recovery,electricity_heat_rejection,electricity_heating,electricity_interior_equipment,electricity_interior_lighting,electricity_pumps,electricity_water_systems,natural_gas_heating,natural_gas_water_systems,district_cooling_total,district_heating_total,electricity_total,natural_gas_total,other_fuel_heating,other_fuel_total,other_fuel_water_systems,site_energy_total,electricity_cooling_savings,electricity_fans_savings,electricity_heating_savings,electricity_interior_equipment_savings,electricity_interior_lighting_savings,electricity_water_systems_savings,electricity_total_savings,other_fuel_heating_savings,other_fuel_total_savings,other_fuel_water_systems_savings,site_energy_total_savings
1,2018-08-17 19:15:00,164025.52239882495,196.47997275315475,313.0596831440163,137339.34843743916,9455.7558244039,46563.68700198741,266.9200368795455,4738.015639285504,20.289139316775415,149491.5010049554,27635.83781846856,11813.298004654816,651.1879751740038,245.64073946103295,702.5756872540729,164025.52239882495,509.5396558971712,387975.840882565,948.216426715106,0.8190032259951956,16.948150180832304,16.129146954837108,553476.067514183,1750.125177778473,2163.629497883253,0.0,0.0,0.0,-0.0127475092442717,3913.7419281524208,0.0,0.0001413390312361,0.0001413390312379,3913.742069491565
1,2018-08-17 19:30:00,139654.31516368364,264.67765837800744,318.6389645839961,129190.13575076964,9455.7558244039,43017.45550561541,280.96201677909073,4214.768129151425,23.754007081178557,148350.21040810723,26721.539394873897,10925.574867791438,616.9486151141424,330.80525099097343,698.1723498449387,139654.31516368364,583.3166229620035,372797.1045196874,1028.977600835912,0.5885778814930298,9.954483115557409,9.365905234064376,514073.6683902848,1754.3691199174416,2232.302733024598,0.0,0.0,0.0,0.0052670131407239,3986.677119955145,0.0,-2.399968592747826e-07,-2.399968583866041e-07,3986.677119715154
1,2018-08-17 19:45:00,149688.87794716647,294.1470473094235,276.05687396612495,137260.2284784716,9455.7558244039,45724.334257180606,263.60757107829676,4445.98240845678,0.0,147260.51313495688,25892.054888991875,12099.372363228797,543.9811590582153,626.4426299182619,613.3592425959993,149688.87794716647,570.2039212755486,382945.8300858269,1239.801872514261,0.5725267217765057,12.549275859126496,11.976749137349987,534457.2631026424,1773.4868085641433,2267.6038717699985,0.0,0.0,0.0,0.6207374143236848,4041.7114177484978,0.0,-5.579114469789204e-05,-5.579114469744795e-05,4041.711361957357
1,2018-08-17 20:00:00,151966.01178559088,306.36008195957726,270.6165940791806,131044.17681089956,9455.7558244039,43479.950721933084,269.96123307108604,4183.493115925237,0.0,146505.07513402114,25053.065066517345,11700.948453365458,491.9216326542967,422.8096619443498,552.1620150193883,151966.01178559088,576.9766760387579,372184.34799279086,974.9716769637378,0.64249964582131,10.571798951296564,9.929299305475254,525712.8799303358,1768.011129048688,2278.005144599714,0.0,7.275957614183426e-12,0.0,-0.2717695029693248,4045.7445041453775,0.0,-4.990328310583436e-07,-4.990328328347005e-07,4045.744503646247
1,2018-08-17 20:15:00,131064.2906663174,351.0683906084919,241.6848838655367,118967.26202355164,9455.7558244039,40306.11733344174,265.8959119390462,3429.6462317461555,0.0,145929.8008920838,24355.950338200455,10662.794018638911,443.0352330569642,259.10905970175503,565.3585003144207,131064.2906663174,592.7532744740287,353816.2578070627,824.4675600161759,0.7575662023939258,9.283450420145495,8.525884217751571,486307.0527582905,1721.3011519962977,2315.724125367318,0.0,0.0,0.0,-0.3267088891647063,4036.6985684744377,0.0,2.4336774373523443e-08,2.43367725971666e-08,4036.698568498681
1,2018-08-17 20:30:00,129700.4049278692,423.1423443115186,230.7286434339687,118590.55610340046,9455.7558244039,42029.69178851786,239.3433963030129,3755.871130359271,0.0,145667.4810741021,23868.508049175336,11598.098769584434,409.2475070940294,321.10098664947503,503.92090283704295,129700.4049278692,653.8709877454875,355614.5536429403,825.0218894865179,0.485417646345215,8.048164830094212,7.562747183748996,486801.8996128717,1668.2345152948792,2358.230525858792,0.0,0.0,0.0,0.0019247619185605,4026.466965915566,0.0,8.00846411408429e-09,8.00846322590587e-09,4026.466965923657
1,2018-08-17 20:45:00,124613.9903257034,402.8575491349895,215.36190318642676,109276.9602670137,9455.7558244039,41188.95917706269,262.530656911754,3756.4692653781367,0.0,145531.76667132048,23454.443490076552,11224.03840233612,360.53770213625035,383.78730883603896,486.4207919550382,124613.9903257034,618.2194523214162,344511.4614566394,870.2081007910774,0.6626209388434836,4.872749055198893,4.21012811635541,470618.7520845108,1567.8227228096596,2265.039836113017,0.0,0.0,0.0,0.6362614275111298,3833.498820350266,0.0,-1.691270679060608e-08,-1.691270679060608e-08,3833.4988203332687
1,2018-08-17 21:00:00,109027.09468044344,574.2301429527274,186.8705267805831,102760.225705072,9455.7558244039,39349.09395642831,256.4782734473721,3634.946039903377,0.3121446105921105,145425.30403682814,23109.58611981508,10827.744084349051,324.2491513457155,455.58430282340026,431.4653619152883,109027.09468044344,761.1006697333104,335143.6953362037,887.0496647386889,1.014304129132971,5.208139608433475,4.193835479300504,445824.1484907277,1491.9660217995322,2327.312720474213,0.0,0.0,0.0,-0.6453845894205301,3818.633357684327,0.0,1.794700654755843e-08,1.794700743573685e-08,3818.6333577023142
1,2018-08-17 21:15:00,107842.03508042758,622.5324501961072,183.6543489760721,104318.6334161702,9455.7558244039,40239.83972461927,216.99139824888093,3485.5028132255143,1.8910622734976312,145391.51881635067,22847.441115373353,11216.720053025529,298.2352654557707,584.0277079235137,427.7543139169307,107842.03508042758,806.1867991721793,337472.52948914666,1011.7820218404444,1.1532723733953567,5.309108889248751,4.1558365158533945,447137.8424994761,1428.0713870511413,2257.2923420613947,0.0,0.0,1.8189894035458565e-12,0.0006433047374514,3685.364372417249,0.0,0.0002674234631037,0.0002674234631037,3685.364639840763
1,2018-08-17 21:30:00,109315.53640880751,596.2186629886751,166.7988918817824,96854.12649081192,9455.7558244039,38201.12461798582,166.1576928952458,3413.8193950008995,3.274286062148385,145506.81765726945,22623.163899493546,11086.648386313078,273.6684106049163,713.650092121523,378.5642051854596,109315.53640880751,763.0175548704574,327584.5566608409,1092.2142973069822,1.1572300617311015,4.484433106185312,3.327203044454211,438759.8093549321,1386.5144351695192,2258.93511453486,0.0,0.0,0.0,-0.0017854335097098,3645.447764270818,0.0,-5.551283877025526e-09,-5.551283877025526e-09,3645.447764265231
